	phone	review
28	Nokia 130 (Dual SIM, Black)	excellent product at excellent price i have checked at different online and offline retailers but the quality and price is unbeatable in amazon if you want a basic mobile phone buy it and only from amazon
29	Nokia 130 (Dual SIM, Black)	horrible product  the sound quality is below low  personally i did not think nokia would make such a bad product  utter waste of money
30	Nokia 130 (Dual SIM, Black)	the phone is perfect than any other nokia mobiles like 105107108 as this phone does not have any headset problems like nokia 105good battery life front design and key pad is same as nokia 108back design is ovalcontains torch in itdual sim
31	Nokia 130 (Dual SIM, Black)	nice phone as such neat  simple good in call and player sound quality but the battery seems to be down slide discharges so rapidlydischarged to 50 in 8hrs on average use no playlist option even though claimed to be 46 hr music playing option
32	Nokia 130 (Dual SIM, Black)	i bought this phone just because of bluetooth feature but when i get it and used i found many problems in this device here are few  1 call drop problem 2 bluetooth doesnt support any headset 3 vibration is too low etc
33	Nokia 130 (Dual SIM, Black)	dual sim cards bluetooth fm radio music and video player and also support for micro sd card i have bought this phone yesterday received on time and its so brilliant 13 hours of talk time and 36 hours of standby time what you want more m
34	Nokia 130 (Dual SIM, Black)	nokia 130  bought it for my mother  a senior citizen the nokia 130 is simple to use and has clean clear fonts the single most important feature is the loud clear ring loud enough to be heard throughout the house or in a noisy market place
35	Nokia 130 (Dual SIM, Black)	have been using this as my secondary phone charge only once in a week or so good if youre traveling and dont have time to charge the phone too often music player and fm radio are an added advantage has great fm reception by the way
36	Nokia 130 (Dual SIM, Black)	wonderful phone with 4 days of battery back up feels great in hand a little slippery but if kept in leather pouch no  issues operating system is bit faster than previous nokia phones which i used over all wonderful product
37	Nokia 130 (Dual SIM, Black)	very nice product cant get even better than that at such an unbeatable price of 83771173 from microsoft authorised seller at amazon product is very handy and durable also got the product before 2 days of delivery date
38	Nokia 130 (Dual SIM, Black)	the only thing weird is that this phone doesnt give a low battery notification and shuts down without warning other features are excellent buy it if you are sick of smartphone and you like to listen music on the go
39	Nokia 130 (Dual SIM, Black)	gud phone on tis price superb battery life amazing sound
40	Nokia 130 (Dual SIM, Black)	value for money it have all feature that a basic mobile needs to have  functionality wise its 5 star only one issue is smaller middle button which is hard to press with thumb
41	Nokia 225 (Dual SIM, Black)	bought this phone for my father who is 70 pros bigger display clear display clear reception etc cons unwanted dual sim too smooth to handle key board is not suitable for aged ppl as they cant feel the operation too softwhich is good for youngsters
42	Nokia 225 (Dual SIM, Black)	the packing was good inside the box condition was perfectthere was only one cello tape seal this tape has no monogram of nokiajust ordinary market cello tape i dont know if nokia mongram appears on the cello tapewhen the box was opened every thing was well placedremoved the polyhene packing of the mobile hand set found two  deep scratch on the back side of the mobileboth 334 length the back cover is a fantastic material but this scratches spoilt my mood on the front side there 12 scatch on the screen on the left bottomunable to if it is a film scrtch or the glass crack i will have to remove the film but so far not donereplacing the back cover will cost atleast rs200250 original  for the front scratch i will visit thhe mobile store and find out i am very much worried the above for your information regards kalyan ghosh 9657707470
43	Nokia 225 (Dual SIM, Black)	battery backup is so good4days after average use contact features not good and slow responsive
44	Nokia 225 (Dual SIM, Black)	large screen nice keyboard good display quality nice large fonts loud ringer tones awesome call quality and reception  only thing i felt bad is the availability of the phone i waited a long time for this phone to get back in stock
45	Nokia 225 (Dual SIM, Black)	received  the mobile promptly for the price the mobile is loaded with lot of featuresthe photo quality is goodfor daily use this mobile is an excellent buy
46	Nokia 225 (Dual SIM, Black)	i am very disappointed i had to replace the charger because it malfunctioned i simply didnt have the patience to escalate
47	Nokia 225 (Dual SIM, Black)	this phone is good for ppl only interested in basic features of the phone even though they hve tried to squeez in some additional featuresi would say dnt keep your hopes high i bought this phone for my dad and he loved itso is the 5 star rating the screen is the highlightmy dad not being tech savy is comfortable using this phone
48	Nokia 225 (Dual SIM, Black)	good basic phone with big and clear display good for older persons sms can be stored only in phone memory  100 or 200 sms then you have to delete the older sms for new sms and the reading message text colour is light blue and the background is white that sometimes may be strain to read good battery backup and clear sound
49	Nokia 225 (Dual SIM, Black)	as always a nokia does moot disappoint like with a mcdonald burger anywhere in the world tasting the same so is it with nokia phones  reliability it serves the purpose well there is one flaw however the screen is not bright enough to counter indias sunlit outdoor environment outside in the sun the display is hard to read
50	Nokia 225 (Dual SIM, Black)	nokia 225 is amazing phone with 1 28 inch big screen display 2 superb battery backup 3 awesome stylish look  some drawback of this phone 1 no continues mp3 play 2 no photo edit option 3 no continues video play like old nokia phone  but over all is good for besic use
51	Nokia 225 (Dual SIM, Black)	i bought this for my brother and he simply love this the services of amazon was excellent
52	Nokia 225 (Dual SIM, Black)	loved its slim and sexy design 603 grt camera got some grt photos under day light  do get a combo of memory card with it otherwise its expirence will be slightly spoiled 128524 the only place were it disappoints me is its battery got backup of 34 days  max expected a bit more from nokia 128553
53	Nokia 225 (Dual SIM, Black)	nice phone for those who want a basic phone with just a little twist of multimedia features but this phone lacks few things like the shortcuts should have been customisable and this phone is a bit slippery but overall o liked the battery backup of the device while on standby
54	Nokia 225 (Dual SIM, Black)	it was a good product but i had ordered both white phones but delivered 1 white and 1 black this was fine with me however next time the product must be checked to meet the requirements with the customer before sending it anyway the product was worth the money
55	Nokia 225 (Dual SIM, Black)	the phone looks nice and meets the requirement at the given price point
56	Nokia 225 (Dual SIM, Black)	perfect mobile for my mom as she need big and bright screen for display  also comes with gujrati language plus point for that slim profile makes it look more expensive then what it is loud enough for elderly people
57	Nokia 225 (Dual SIM, Black)	i like the product good for my elderly wife not so gadgetsavvy
58	Nokia 225 (Dual SIM, Black)	i bought this phone for my motherbright red and for my wife black  i bought different coloured phones fearing that they might misplace their phones colour wise bright red is awesome with a sturdy keypad and a smooth finish the black one was good too except that unlike the bright red one the keypad was a bit wobbly i first thought that it was damaged then discovered that it was the same in all black phones here are the pros and cons  pros ¶ best display ever for a phone under 3000 ¶ the user interface is very good  ¶ screen is quite big and keypad is nice too ¶ the 2mp camera can be used to its fullest potential ¶ it has a very useful flashlight ¶ it has fb and twitter pre installed  cons 8710 very very less internal memory 8710 no 3g  after reading this i guess u will prefer this phone
59	Nokia 225 (Dual SIM, Black)	i presented this phone for my grandfather guess wat  he loves it the phone is handy and beautiful everything is as expected but the flash light is a bummer    the camera and audio is great  easy ui d
60	Nokia 225 (Dual SIM, Black)	i bought this phone for my father he is satisfied and excited to use this phone the set up on this phone is pretty basic and the look is sleek and we also have memory card option so thats cool so far so good
61	Samsung Guru GT-E1200 (Indigo Blue)	this phone is hassle free charge it over the weekend and use it all week just basic features useful for older people who need to just make and receive callssms for 60 1000 i think this is the best branded phone
62	Samsung Guru GT-E1200 (Indigo Blue)	its been 1 year since i was gifted this mobile and even today it is new i have the white one but it never gets dirty coz oil or any material you just wipe out and its clean and new as beforeregarding battery life you have to charge it once a week only even if you talk 30 mins every day thats amazing for lazy people like me who hates recharging from time to timeand even when its 1 bar only in battery it lasts for 2 days signal and coverage is good voice quality is good  make sure u r not standing under a water tank though its just the best mobile for those who use touch screen mobiles and hate low battery life its light weight and compact
63	Samsung Guru GT-E1200 (Indigo Blue)	the product is good but the headphone jack is primitive and headphones are supposed to fit into same slot as charger cablenot the standard 35mm type the product comes without headphones and finding the right accessories is a problem i have not found headphones for this yet  any help would be appreciated
64	Samsung Guru GT-E1200 (Indigo Blue)	this phone is meant only for those people who follow the policy of bare minimum is enough  less is more and never believe in upgrading to the latest smart phones for the sake of fashion trends or their life style being vedantistsi belong to this category as this is my 3rd basic phone since 2002i had already used a samsung guru duos gt e1207 dual sim since feb 2015 and so knew all that this phone has and does not have i bought this as a gift for my mother aged over 68 yrs as she like myself never believed in complications a person who is just now adopting gsm technology in hisher life would love this phone  features  it has a plain single gsm normalmini sim slot  no micro sd card support  no camera  no bluetooth  no music player  no video playerrecorder no image viewer no fm radio no frills no earphones  pros the purpose of this phone is just to keep it in standby mode to make and receive calls sendreceive sms netbanking otps for which it does the work without fuss call clarity is crystal clear even with 3rd rate mtnl gsm network inside the room full 6 bars signal available always the phone is very good in picking up even faint signals it has many useful features like metric converterstop watch calculator timer world clock torch light and has battery saver mode if this is enabled then battery can last easily for 15 days in standby and 10 days in mixed use  cons no internal battery to keep the clock and date fixed even after main battery is removed no auto power shut off  switch on feature
65	Samsung Guru GT-E1200 (Indigo Blue)	good buy value for money some simple extra features like fm radio would make this more popular  jpb 224  
66	Samsung Guru GT-E1200 (Indigo Blue)	product is much better than what i expected pros  no memory card slot and camera i was looking n hoping for without these two features due to my work place requirement  keypad finish and display are nice and not glaring as other basic phones do  colour display and handset colour white are too good for a match  cons none have used 3 basic phones of samsung make they are great and battery talktime and life are unmatched even by nokia
67	Samsung Guru GT-E1200 (Indigo Blue)	satistfy with the product and quality far better than other mobiles in this segmentthanks amazone for your service and customer satisfaction
68	Samsung Guru GT-E1200 (Indigo Blue)	the product is classified under cdma mobile whereas it is actually gsm mobile i purchased this for cdma use but currently is useless for me
69	Samsung Guru GT-E1200 (Indigo Blue)	ordered this phone on 14th jan received on 17th jan awesome phone  light weight only 60grams  clear earpiece sound  big  clear numbers in display good battery backup contact capacity has been increased to1000  recommended as a secondary phonephone for senior citizens who require clear sound from earpiece
70	Samsung Guru GT-E1200 (Indigo Blue)	value for money i think not bad battery back up is good good for old man or woman yeh its good
71	Samsung Guru GT-E1200 (Indigo Blue)	if you want for use backup your phone easy buy this phone once change it will backup for 4 days minimum so  i know everyone have android but android have give up battery after using internet so it is backup set you always so buy it
72	Samsung Guru GT-E1200 (Indigo Blue)	i m extremely unhappy my fone is not working properly since it has been delivered its not possible to make out callers voice not up to my expectation amazon  ritika bhatia
73	Samsung Guru GT-E1200 (Indigo Blue)	just the way the phone should be the best calling phone simple and best must buy go for itbest at this price moreover a wonderful delivery by amazon perfect keep it up
74	Samsung Guru GT-E1200 (Indigo Blue)	this phone is newer version of the samsung guru model looks sleek and light however i could not find the way to silence key pad sound while pressing the keys otherwise good
75	Samsung Guru GT-E1200 (Indigo Blue)	bought it today for my father who just want a simple phone that will basic feature so after lot a searching finally set my mind on it the blue variant looks really good small phone yet good grip speakers are loud enoughvoice clarity good scree bright enough i am really happy to for buying this strongly recomend this who wants basic features and long battery life
76	Samsung Guru GT-E1200 (Indigo Blue)	cost effective good battery life and lightweight are the features that make this phone user friendly  overall light on pocket and heavy on battery life
77	Samsung Guru GT-E1200 (Indigo Blue)	nice basic phone with attractive amazon deal  i have puchase this phone for my mom as she needs very basic function with long bettery life this phone fullfill the basic requirement and bettery almost last for 45 day with medium usage crons 1  screen is too small and it is difficult read sms and contact by older age people 2 there is no micro usb charger so every time we have to carry charger during travelling
78	Samsung Guru GT-E1200 (Indigo Blue)	mene samsung ka cdma mobile book kiya tha aapne  gsm bhej diya  mene return kr diya  agar cdma mobile ho to samsung ka bhejo
79	Samsung Guru GT-E1200 (Indigo Blue)	mobile is very gud  everything is okie but delivery is very very bad  after booking it taking 11 days to deliver 
80	Samsung Guru GT-E1200 (Indigo Blue)	a handy back up phone which is reliable and light weight easy to carry along with you for your morning walks and job
81	Nokia 215 (Dual SIM, Black)	nokia 215 is pretty nice as a backup phone with battery life of weeks the build quality is great with smooth edges the key pad is perfectly spaced which ensures accurate click for eldersand it is backlit too about call quality not the best in call quality but is decent for the priceits not that clear but still its ok charger is universal type with micro usb and microsoft branding earphones are the usual nokia ones but this time with microsoft branding the 03 is camera is probably the basic ones it supports internet and is bundled with opera mini fb and more but no whatsappand as of i checked you cant install whatsapp in it there is also a memory card slot too which works well a expected it only supports 2g the 24 inch display is bright and viewable its light weight conclusionvalue for money as a 24 incherbest suited for elders and as secondary phone
82	Nokia 215 (Dual SIM, Black)	bought this from amazon for rs 2069 here is my detailed review pros light weight optimum screen size backlit keys nice call quality and volume is good enough cons screen quality is very low causing strain to your eyes although the numeric keys are widely spaced the main navigation key is too small and it is difficult to use especially if you dont have long nails it is main disadvantage i found in this phone optimizing the home screen is not possible so you have to go to the menu to open a certain task which will be difficult to elders overall i would recommend this phone to use as a secondary phone or someone who uses the phone for just calling putposes and i know there is no need to write about the camera quality games and other applications because there are lot of other phones in market which are meant for the same
83	Nokia 215 (Dual SIM, Black)	go head  same day dispatch but i got with lot wait  but it is due to my post office  as they received the package but delay only with postoffice busy schedule  due to holidays  so dear friends  its working well look and quality  features according to price are fine  its light weight and smooth functioning alonwith torch is very good  some how i am not satisfy with head phones because their sound quality is satisfactory only other features are good  dual sim  micro sd card  which i have already purchased from amazon 8gb sandisk  that good functioning i hope  if some one want to buy a such type of mobile in small budget  then purchase it and amazon is best in its delivery
84	Nokia 215 (Dual SIM, Black)	perfect for elder people i bought this mobile for my grandfather it has radio memory card slot  dual sim thus a good timepass the battery backup is too good once charge it it vl be for 2 to 3 days and got dis 2 days before the delivery estimate thanq amazon
85	Nokia 215 (Dual SIM, Black)	brought this phone from the seller tecki homefor  rs 2139 for my mother well i would not post a long marathon review just the pros and cons pros  build quality is nice feels good to hold keypad is good screen size is bigger than other feature phones has a few apps like opera mini twitter etc battery backup is nice should last you 45 days easily on normal usage dual sim thats good  cons  not the greatest call quality i faced a significant number of drop calls internet access on this phone is pathetic speakers are not that great
86	Nokia 215 (Dual SIM, Black)	ordered one of these from amazon and received in a day after placing battery in the back cover did not lock completely there was always a small gap moving around making noise had to return the product and amazon refunded the amount thanks to their return policy
87	Nokia 215 (Dual SIM, Black)	sound quality is pathetic dont buy it build quality is not good
88	Nokia 215 (Dual SIM, Black)	good battery backup normal use it lasted around 7 days on one charge
89	Nokia 215 (Dual SIM, Black)	its a very good mobile in this range from nokia really awesome features and good sound quality also light in weighteasy to carry and handling also great delivery in time from amazon team 
90	Nokia 215 (Dual SIM, Black)	pretty good handset in this range now a days button handsets are rare i purchased it for my mom nokia was always my favoriteeasy to use dual sim
91	Nokia 215 (Dual SIM, Black)	everything is perfect only navigation has problem you need nail to use with comfortable there is no comparison of amazon service
92	Nokia 215 (Dual SIM, Black)	great battery backup and awesome call qualityperfect for elders i actually use it as my secondary phone with my lumia 920
93	Nokia 215 (Dual SIM, Black)	one of the best my second phone its look so good battery backup is good very nice phone thank for amazon
94	Nokia 215 (Dual SIM, Black)	another bad product from nokia aka microsoft now zero stars 3 starts for amazon
95	Nokia 215 (Dual SIM, Black)	nice simple phone
96	Nokia 215 (Dual SIM, Black)	not zooming option in pictures and need upgrade more like whatsapp
97	Nokia 215 (Dual SIM, Black)	nice second phone help to suffice the basics needs of a person
98	Nokia 215 (Dual SIM, Black)	overall good but in call history will not show day r date
99	Nokia 215 (Dual SIM, Black)	nice phone in good price  features are really good
100	Nokia 215 (Dual SIM, Black)	very good product and also delivery is very good
101	Nokia 220 (Dual SIM, Black)	okay here goes my reviewthe phone came in very good packed condition with bubble wrap the mobile packet was sealed which proved its genuinenessafter opening the box the first word that came to my mouth was wowman i was totally surprised to see such a good looking mobile at such a cheap costthe screen is of 24 and of resolution 320x240it has a good ppi ratio and a bright screen the mobile comes with all necessary social networking apps preinstalledthough im yet to check whether it supports whatsappit has a very light body and the phone doesnt even look cheapit even has a torch with 2mp camerathe charger is of micro usb typebattery 1100mahordered it on 27th march and received on 31st eveninghad a good shopping experience with edabbbathose instant sms updates about product dispatch and delivery were fabulousand fast delivery through dtdc was very fastwait for a detailed handson reviewgot it for rs2690   update  the phone is not sturdy in built but thats enough for what you paywhatsapp is not supported it comes preloaded with six original games from gameloftthe phone plays mp4 videos of 480p easilyyou need the latest version of nokia suite to support itit has nokia slam feature to transfer data and also nokia glance screen which is found in lumiasthe loudspeaker is good enough for listening musici purchased this for my parents and it fulfills their requirements  thank you
102	Nokia 220 (Dual SIM, Black)	i am using the nokia 220 for quite some time now as second phone and it is the best quality phone in the low budget range it looks stylish and the screen quality really stands out the main features are 1 apps as facebook and twitter it has no whatsapp important to know if you want to use as a single phone 2 bluetooth 3 dualsim 4 fm radio for the radio you need to use headset there is no speaker 5 nokia stereo headset 6 camera  video option 7 24 inch tft display resolution of 240 x 320 pixels 8 expandable memory up to 32gb you need to insert external memory card  a high quality product in the low budget range well done nokia a better second phone i could not get right now you can buy this phone without any hesitation
103	Nokia 220 (Dual SIM, Black)	nice budget phone from nokia in 23k range it looks very cool functions are easy and yes it has nokia toughness amazon was too fast to deliver it within 40 hours i got the product once again thank you amazon
104	Nokia 220 (Dual SIM, Black)	ear piece volume is very low you have to be in silent place to make calls  we hardly hear anything in the running bus or train or at any crowded place this is very bad  poor nokia  dont release such a substandard product and loose your name
105	Nokia 220 (Dual SIM, Black)	i got impressed with the photos of this phone and gave order but when the product came i was surprised it looks like a cheap chinese phone it was very difficult to remove the back cover i had to spend 45 minutes to remove it dont know why they designed the back cover like this the phone feels like cheap doesnt look like this is made by nokia or microsoft and the worst part is the display it is very poor the only thing is that it is colour display it is ok if this phone costs around 1800rs but costing 2800rs this is bull shit we hate the display every time we look at it no comments about the camera quality but im sure my 8 year old samsung x700 with 16mp camera is 100 times better than this phone yes it is a great buy if yoy get it for 1800rs but for 2800rs this is a big no dont buy this
106	Nokia 220 (Dual SIM, Black)	was eager to buy this everything looks ok but battery backup not so good for a nokia costumer his expectation for a battery backup will be always high that not meets the expectation and rest features are good
107	Nokia 220 (Dual SIM, Black)	product is good but little problem in music player as u cannot resume ur songs after when call comes to ur mobilealso for selecting ur songs from memory cardthe song will not be played to next song
108	Nokia 220 (Dual SIM, Black)	this is an excellent pieceit runs perfectlyits camerasound quality and other features are amazingi a completely satisfied with this mobile phonei suggest the genuine online buyers who are serious about quality and value for money may opt this productits battery life is manageable it lasts for three days once recharged in normal callingreceiving situation and five to six days without calling or receiving cases overall this is a good product of nokia
109	Nokia 220 (Dual SIM, Black)	ordered for a black got a white one did not blaming the seller as the pack is sealed even the nokia label mentioned the colour as black and got imei nos inside the phone correct seems like some mistake made by the manufacturer as its the budget feature phone no complaints  love the regional language options as she is comfortable reading on local languages than english for using the mobile
110	Nokia 220 (Dual SIM, Black)	good phone  good ones are 1 easy to use 2 handy enough 3 simple functions 4 camera 2mpis good 5 bright colours with good styling 6 extra ordinary feature of torch light  bad ones are 1 no themes facility 2 cannot rearrange icons 3 no sync with nokia pc suit ovi suit 4 no whatsapp messenger app 5 no equalizer in music player 6 no ovi store application  verdict nokia 220 is a basic mobile handset with good styling and design but it truly missing nokias basic functions and interface if you need a basic stylish handset with dual sim facility 2mp camera  radio this is it
111	Nokia 220 (Dual SIM, Black)	the phone is good in most of the aspects but it lacks a very basis featureto store more than one number against one contact that is it allows to store only 1 number against 1 contact nowadays people have multiple numbers hence was expecting this feature to be available in fact i found that this feature is not available in most of nokia phones with symbian os now
112	Nokia 220 (Dual SIM, Black)	no opera and uc browser for this phone but has dual sim torch usb port internet
113	Nokia 220 (Dual SIM, Black)	not a good phone at all
114	Nokia 220 (Dual SIM, Black)	i brought it for my mom as she is not much mobile friendlybt she loved itthough its screen is bit glossy bt it is easier to handel for elder who wants to brought phone only for call purposelittle disppointed that wtsapp not supportedbut in this price its worth the money
115	Nokia 220 (Dual SIM, Black)	the product quality is very poor the battery back up become very poor after 23 months i have to charge every day even if i am not using the phone for any calling after 4 months phone started showing some problems with display very bad experience from amazon india
116	Nokia 220 (Dual SIM, Black)	purchased for battery back up it lasts 23 days without single charge in a day met all my requirements as expected again cost factor it can be purchased at lower cost from any mobile shoplove for nokia  still believe it will reclaim its position again
117	Nokia 220 (Dual SIM, Black)	an excellent budget phone    the 2mp camera also delivers good quality images the battery back up is also good    if you are looking for a good basic phone and if u dont care much about how it looks then definitely go for it  
118	Nokia 220 (Dual SIM, Black)	nice but the cover quality of the phone could have been better
119	Nokia 220 (Dual SIM, Black)	not as per the expectations i will give one star to the phone
120	Nokia 220 (Dual SIM, Black)	product is having very low volume and there is continuous range problemi am neither able to make or receive any callalso i am not able to return the product backnot at all satisfied with the service 
121	Salora KC12 (Black)	ohhh yesi m lucky to got this phone in just 99
122	Salora KC12 (Black)	99 awesome price
123	Salora KC12 (Black)	phone and price is real  product is working fine no complain
124	Salora KC12 (Black)	for the time being 5 for the price 99 only at which i got this mobile in the deal and definitely though it is branded as salora it is a basic china phone that has been branded salora the software experience will be the free chinese os i am one of the customers who got it at 99 rupees only via the deal to all the people complaining that deal is fake as it was over before 9am i request them to go through the ad once again the ad said that all deals start 15 min before on the app hence desktop users might have it tough this is the case not that the deal is fake also my dear along with you lakhs of people must be pressing the buyaddtocart button at once within a millisecond but still amazon experience was real and deals were real not like flipkart big billion sale flipkart cheated us all but this deals were real hope you understand
125	Salora KC12 (Black)	made for everyone bakwash
126	Salora KC12 (Black)	real deal awesome phone preinstalled whatsapp got earphones too just for rs99
127	Salora KC12 (Black)	really an amazing product got it on amazons summer deal for 8377 99 dual sim internet facility torch memory card support audio video player battery backup charger headphone settings durable body camera  call facility everything works good whatsapp msngr is also dr but not tested it works or not  no more expectations completely satisfied thanks to amazon  salora for such a nice phone
128	Salora KC12 (Black)	running smoothly 99rupeemobile
129	Salora KC12 (Black)	its great to see raining offers in summer  a phone at 99 i had one
130	Salora KC12 (Black)	pros cheap durable good enough cons plastic bulky whatsapp pre installed but it doesnt work  i think you can get more cheap phones better than this one but this one is good enough
131	Salora KC12 (Black)	awesome phone basic bar phone having all functionalities that u get in a normal bar phone costing min 999 in market and that all 99 rupees its again awesome  please bring the deal again 
132	Salora KC12 (Black)	just got it today from the first impression the phone looks good i was lucky to get it at rs 99 and its not mentioned in the product description but the phone has in built whatsapp as well
133	Salora KC12 (Black)	the offer was fake the offer starts  857 am today   i click on this offer  857 only  its displays like waiting list
134	Salora KC12 (Black)	its working good and battery backup is also good4 to 5 days its workso many features are in this mobile and all are in good conditionslike torchmultimediacamerawatsappetc
